place_id,Restaurant Name,Address,Country,Region,Price,Cuisine,Longitude,Latitude,Phone Number,Michelin Guide Post Link,Google Website Link,Michelin Award,Facilities And Services,Description,SFA Hygiene Grade,Safety Penalty,Review Count,Average Rating,value_tier,value_score,service_tier,service_score,taste_tier,taste_score,value_tier_numeric,service_tier_numeric,taste_tier_numeric
ChIJsRYJwNEW2jERcCrU_fmKp8s,Economic Bee Hoon,"Off upper Thomson Jalan Leban, Singapore 574419",Singapore,North-East,1.0,Street Food,103.8289323,1.3723383,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=14674850717120080496,Not Awarded Any Yet,"Dine-in,Takeaway,Wheelchair accessible",No Description Available Yet,A,0,3,3.0,average,0.6641,good,0.5812,good,0.9572,4.0,4.33,3.67
ChIJ97T-wNEW2jER_k0foVuJgH4,#01-24 什菜飯,"Upper Thomson Road, Singapore 574419",Singapore,North-East,1.0,Street Food,103.8290586,1.3724537,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=9115436672436096510,Not Awarded Any Yet,"Takeaway,Wheelchair accessible",No Description Available Yet,B,1,4,2.25,good,0.986,good,0.5667,good,0.8846,2.75,2.75,2.75
ChIJZ2DAwqYX2jERymVeqc8T30c,&Joy Japanese Food Street (Nex),"Serangoon Bus Interchange, Singapore 556138",Singapore,North-East,2.0,Japanese,103.8719911,1.3506853,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=5178879879120053706,Not Awarded Any Yet,"Dine-in,Takeaway,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,B,1,3,3.33,excellent,0.9129,excellent,0.796,good,0.9552,3.67,3.67,3.33
ChIJEWdzyHEV2jERFOURfud0d_s,1036 Fusion,"2 The Oval, Singapore 797860",Singapore,North-East,1.0,Singaporean,103.8673025,1.4085075,8481 8881,Not in Michelin Guide Yet,https://maps.google.com/?cid=18120080163349849364,Not Awarded Any Yet,"Dine-in,Takeaway,Outdoor seating,Beer,Coffee,Credit cards,NFC payments",No Description Available Yet,A,0,4,4.0,good,0.9164,excellent,0.8418,good,0.8202,3.5,3.75,4.0
ChIJGWZ0_JkU2jERyBqFWy7JGws,1036 Live Seafood,"Sembawang Road, Singapore 758501",Singapore,North,2.0,Seafood,103.8329162,1.4534902,6555 1277,Not in Michelin Guide Yet,https://maps.google.com/?cid=800454559729523400,Not Awarded Any Yet,"Dine-in,Takeaway,Reservations,Outdoor seating,Beer,Coffee,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,3,3.67,good,0.6739,excellent,0.918,good,0.71,3.0,4.0,4.0
ChIJCa8ucjsF2jERHZiIudg_1EA,108 Mini Wok,"1 Joo Koon Bus Interchange, Singapore 629117",Singapore,West,1.0,Street Food,103.6775943,1.3273913,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=4671428913548269597,Not Awarded Any Yet,"Dine-in,Takeaway,Wheelchair accessible",No Description Available Yet,A,0,3,3.67,good,0.7157,excellent,0.5163,good,0.8448,3.67,4.67,4.33
ChIJQ_yl0rcR2jERL5GXs_aRKJY,117 Fried Kway Teow • Hokkien Noodle,"Bangkit Rd, Singapore 670257",Singapore,West,1.0,Street Food,103.7734762,1.3787366,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=10820058593518653743,Not Awarded Any Yet,"Dine-in,Takeaway,Wheelchair accessible",No Description Available Yet,A,0,5,4.2,good,0.7237,excellent,0.5471,good,0.8064,3.4,4.2,3.6
ChIJLeIkhSgP2jERFJnqCOUJXD8,158 Seafood,"158 Corporation Drive, Singapore 610158",Singapore,West,2.0,Seafood,103.722504,1.3284288,6264 3851,Not in Michelin Guide Yet,https://maps.google.com/?cid=4565535001548593428,Not Awarded Any Yet,"Dine-in,Takeaway,Beer,Coffee,Wheelchair accessible",No Description Available Yet,A,0,3,3.67,poor,0.8266,excellent,0.6862,good,0.8564,2.67,2.67,3.33
ChIJS1BYfVkF2jERoi_DYP2j5Tw,17 Food Shop,"1 Joo Koon Bus Interchange, Singapore 629117",Singapore,West,1.0,Street Food,103.6775648,1.3273767,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=4388093720587874210,Not Awarded Any Yet,"Takeaway,Wheelchair accessible",No Description Available Yet,A,0,2,4.0,average,0.9822,excellent,0.5288,good,0.7274,3.5,3.5,4.0
ChIJd4Pilu8F2jERGcAmPHaisOQ,178 Mixed Rice Veg And Porridge,"1 Shipyard Crescent, Singapore 628499",Singapore,West,1.0,Street Food,103.6849157,1.3033026,9687 2274,Not in Michelin Guide Yet,https://maps.google.com/?cid=16478849665247658009,Not Awarded Any Yet,"Dine-in,Takeaway,Cash only",No Description Available Yet,B,1,1,4.0,average,0.9793,excellent,0.9823,good,0.9904,3.0,5.0,4.0
ChIJGwYVVwAT2jERQiBykzjEFMs,187 Ayam Penyet,"187C Marsiling Road, Singapore 733187",Singapore,North,1.0,Indonesian,103.7746886,1.4382415,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=14633536836504526914,Not Awarded Any Yet,,No Description Available Yet,A,0,2,5.0,good,0.9886,excellent,0.6156,good,0.989,4.0,4.5,4.0
ChIJKT3KLGAX2jERq1yyRBddK7Q,21 On Rajah,"1 Jalan Rajah, Singapore 329133",Singapore,Central,2.0,Asian,103.847462,1.3270478,6808 6847,Not in Michelin Guide Yet,https://maps.google.com/?cid=12982572705343757483,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Coffee,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,4,3.75,good,0.906,good,0.7712,good,0.8394,3.75,3.5,3.5
ChIJW9nKUeUW2jERInQCCYbtvCs,24 Hrs Ming Fa Fishball Noodles (Amk),"529 Ang Mo Kio Ave 10, #01-2361, Singapore 560529",Singapore,North-East,1.0,Noodle Shop,103.8559162,1.3727439,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=3151654999185060898,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,NFC payments",No Description Available Yet,A,0,4,5.0,good,0.7157,good,0.824,good,0.9785,4.25,4.25,4.0
ChIJM4Cog6cX2jER1g4af66ZOgw,26 Home Dining,"464 Fernvale Street, Singapore 790464",Singapore,North-East,4.0,Private Dining,103.875987,1.3975841,9235 8882,Not in Michelin Guide Yet,https://maps.google.com/?cid=881185651840126678,Not Awarded Any Yet,Dine-in,No Description Available Yet,A,0,5,5.0,good,0.6906,excellent,0.7596,good,0.9974,4.4,5.0,4.2
ChIJTyWXW4EZ2jER5VJMx7p1QMI,2It & Drink,"491A River Valley Road, Singapore 248372",Singapore,Central,2.0,Italian,103.8272222,1.2933333,6737 3001,Not in Michelin Guide Yet,https://maps.google.com/?cid=13997317086935536357,Not Awarded Any Yet,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible",No Description Available Yet,A,0,5,3.4,good,0.6464,excellent,0.6112,good,0.8287,3.4,3.6,3.0
ChIJveczDQAT2jERQzjqSh8SA04,304 Mala Hotpot Xiang Guo,"304 Woodlands Street 31, Singapore 730304",Singapore,North,1.0,Chinese,103.7737672,1.4300127,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=5621356685498660931,Not Awarded Any Yet,"Dine-in,NFC payments",No Description Available Yet,A,0,4,3.75,good,0.5948,good,0.5313,good,0.6785,4.0,4.25,4.0
ChIJrezFxbYW2jERntTNH8cfMJo,33 Xian Seafood Village 33,"Sembawang Road, Singapore 779082",Singapore,North,2.0,Seafood,103.8177323,1.4038856,8575 5158,Not in Michelin Guide Yet,https://maps.google.com/?cid=11110415220815549598,Not Awarded Any Yet,"Dine-in,Takeaway,Reservations,Outdoor seating,Beer,Coffee,Wheelchair accessible",No Description Available Yet,A,0,4,4.75,good,0.809,excellent,0.9672,good,0.9538,4.25,4.75,4.25
ChIJ26cU9MEb2jERiLdLMTOJ6PE,37 Teban Gardens Fishball Noodle,"37 Teban Gardens Road, Singapore 600037",Singapore,West,1.0,Street Food,103.7423574,1.320568,8692 3139,Not in Michelin Guide Yet,https://maps.google.com/?cid=17431333210700887944,Not Awarded Any Yet,"Dine-in,Takeaway,Wheelchair accessible",No Description Available Yet,A,0,1,3.0,good,0.5598,good,0.5685,good,0.8262,4.0,4.0,4.0
ChIJpepUTgYP2jERKIDQPZPhyoE,38 Seafood (Fish Head And Steamboat),"9 Jurong West Ave 5, #01-09, Singapore 649487",Singapore,West,2.0,Chinese,103.7029255,1.3492151,9159 8669,Not in Michelin Guide Yet,https://maps.google.com/?cid=9352535598701772840,Not Awarded Any Yet,"Dine-in,Takeaway,Wheelchair accessible",No Description Available Yet,B,1,5,1.0,poor,0.9494,terrible,0.5558,terrible,0.6627,1.8,1.4,1.2
ChIJD_QWc_gX2jERl6mVTyiOxa8,39 Coffee Stall,"590 Upper Thomson Rd, #01-35, Singapore 574419",Singapore,North-East,1.0,Street Food,103.8290076,1.3723618,No Phone Number Listed,Not in Michelin Guide Yet,https://maps.google.com/?cid=12665685830834432407,Not Awarded Any Yet,"Takeaway,Coffee,Wheelchair accessible",No Description Available Yet,A,0,3,4.33,average,0.8487,excellent,0.9652,good,0.8963,3.33,4.67,4.0
