place_id,Restaurant Name,Is Michelin,Google Review Ratings,Reviews,value_tier,value_score,service_tier,service_score,taste_tier,taste_score,value_tier_numeric,service_tier_numeric,taste_tier_numeric
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,Smoky flavoured satay. Awesome!,excellent,0.6871,excellent,0.681,good,0.9919,5,5,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,"I was surprised to find satay being sold in the morning. I ordered 10 sticks of mutton for $8, as I had just had a big plate of chicken rice. The mutton satay was thick, meaty, and very delicious, with no mutton smell at all. I will come back again next time for more.",good,0.9006,good,0.1237,good,0.99,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,2,Disappionted. Expected better quality based on the reviews. Meat was still chewy,poor,0.4075,terrible,0.0594,good,0.2566,2,1,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,great satay and sauce... delicious.. one of the best in Singapore,good,0.4429,excellent,0.786,excellent,0.9983,4,5,5
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,4,20251120 - popular satay stall in chinatown smithstreet hawker centre. Ordered 15 sticks of pork with rice. Had to wait around 15 min. Nice of them to give extra gravy. Satay was well bbq and dipping sauce pairs well. Good to have as a dish with other variety of food you can get in hawker centre.,good,0.7233,good,0.7749,good,0.9889,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,好吃猪肉串,good,0.4043,excellent,0.5356,good,0.5068,4,5,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,4,"First time trying this stall’s satay after walking past it so many times at the hawker centre.
Surprisingly, the chicken satay tasted fresh and delicious.
I would have preferred a little more char on the meat, but the seasoning was on point and the satay gravy was nicely balanced.
Prices are reasonable and the service is friendly.
Overall, a satisfying satay fix — will certainly patronize again.",good,0.9886,excellent,0.9896,good,0.9966,4,5,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,3,Satay bee hoon,poor,0.5656,terrible,0.3516,good,0.7654,2,1,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,"The fact that they grill it fresh to order is AMAZING. Came out piping hot w/ that perfect char, super tender & juicy. no dry meat, promise! 👍
​Got the rice, beff, pork & chicken combo. u can tell the meat quality is top-notch.
​But the peanut sauce... OMG. So rich, sweet, & nutty, it's next lvl w/ the smoky meat. a match made in heaven. 🤤🤤🤤",good,0.3707,excellent,0.8864,excellent,0.9991,4,5,5
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,Bought the kangkong with squid for $8 for 2 pax sharing portion. Good and affordable! Only a little squid but overall still good!,good,0.9985,good,0.6671,good,0.9812,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,3,"Just okay tasting satay, would prefer more char on the satay. Taste is alright but nothing out of the ordinary. Not sure how they get a Michelin recommendation.",average,0.6789,average,0.1364,average,0.9478,3,3,3
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,Cash only but good satay...,average,0.8918,good,0.2133,good,0.9073,3,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,"It's challenging to find decent satay nowadays; fortunately, I discovered this hidden gem in Chinatown Food Market. The satay are expertly marinated, with a well-balanced sauce that's not overly sweet, and the satay rice consistently sells out by 3-4 pm. I'm particularly fond of the pork satay, which boasts a delightful balance of lean meat and fatty bits.",good,0.7388,excellent,0.6357,good,0.9675,4,5,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,Pork satay was delicious. Owner was polite. Satay gravy not bad. Price was very reasonable. Cuttlefish kangkong is fragrant & nice. Ingredients was fresh & cooked aldante.,good,0.9284,good,0.867,good,0.8763,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,"Only cash payment is possible. I recommend to come as soon as possible. They were out of the mutton version at 1pm and 2 hours later they were completely sold out and the stall was closed a couple hours early overall, so I had to go there the next day. The price for Satay is 0.8 SGD which is fine, the portions are smaller, minimum order is 10 pieces. The meat is well prepared, the sauce was also good. I recommend a visit to the stall.",good,0.9771,good,0.6213,good,0.9681,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,4,"C.M.Y. Satay’s chicken satay has a smoky, charred flavour that’s deeply satisfying and full of rich taste.

The chicken is tender and juicy, so every bite feels like a delicious, mouthwatering treat. Must come and try!",good,0.1214,excellent,0.0284,good,0.9961,4,5,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,"Known for their pork satay but we went with the Cuttlefish Kang Kong; no fuss, good dish! Saved it to my food list for Singapore hawker stalls.",good,0.9598,good,0.849,good,0.9969,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,5,"very nice, friendly owners too

but min $8",good,0.8664,good,0.9954,good,0.8084,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,4,市場二樓靠後面，沙爹串有羊肉、豬肉、雞肉三種，每一次最少10串，可組合兩種肉。一串SG 0.8，大概就是兩口。醬料偏甜，花生醬加不少，體驗在地市場氣氛還不錯,good,0.4051,good,0.3778,good,0.325,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,4,"Just come here for the satay, which is good. Don't expect courtesy from the elderly woman at the stall who I can only describe as the disgruntled co-worker who's been at the company for 30 years but never got any recognition. She seemed very annoyed the entire time. She didn't want me to use their tray, was rude in passing the food order to her male colleague, and grumbled her way through the transaction. Look through the photos shared by other reviewers, you'll spot her there. If you can, try to order when she's not there.

Chinatown Complex is packed at the lunchtime so avoid the mad rush and go after 2 PM if you want to get a seat sooner. Nonetheless, the food variety here is way better than Maxwell Food Centre across the road.",good,0.9857,good,0.9528,good,0.9857,4,4,4
ChIJFQJEK4YZ2jERrEB-quqh42s,168 CMY Satay,True,4,"The Satay bee hoon is nice.
The sources is light and healthier versions.
Not spicy.
Portion slightly small",good,0.8255,good,0.7602,good,0.9839,4,4,4
