place_id,Restaurant Name,Google Review Ratings,Reviews
ChIJsRYJwNEW2jERcCrU_fmKp8s,Economic Bee Hoon,1,"Updated . Just purely Beehoon not bad . Food ingredients very normal . Service ok .
__
Go so many times . NEVER ONCE OPEN"
ChIJsRYJwNEW2jERcCrU_fmKp8s,Economic Bee Hoon,5,"Bee hoon is fantastic and has quite a variety of options to choose from. Always get the cabbage, fried egg, and the meat balls/ another veg!"
ChIJsRYJwNEW2jERcCrU_fmKp8s,Economic Bee Hoon,3,"average bee hoon with a short queue. they cook the bee hoon in bulk, then keep it in a steamer - and take out small portions. so it's nice, hot and soft when they serve it to you. ingredients are super oily..."
ChIJ97T-wNEW2jER_k0foVuJgH4,#01-24 什菜飯,1,this pathetic portion for 5bucks? i even had to ask twice as i thought my hearing was failing me this morning
ChIJ97T-wNEW2jER_k0foVuJgH4,#01-24 什菜飯,1,Old Lady Overcharged Everyone! Food tasteless and does not look clean! Never eat from this DISHONEST stall again!!
ChIJ97T-wNEW2jER_k0foVuJgH4,#01-24 什菜飯,3,"Ordered:
Refer to the attached video for my order. Paid a total of $16.

I'm not usually a fan of mixed vegetable rice, but this vintage Chinese mixed vegetable rice stall, managed by seniors, caught my attention. They offer two kinds of chili, both of which complemented the food, price is reasonable as well."
ChIJ97T-wNEW2jER_k0foVuJgH4,#01-24 什菜飯,4,Their mix rice is decent and affordable price(1 meat +2vege for $3.50). Overall 7.5/10
ChIJZ2DAwqYX2jERymVeqc8T30c,&Joy Japanese Food Street (Nex),1,"When i first entered into this restaurant, the waiter greeted me nicely and led me my seat. Another waiter came to help me with my order. I found their service very bad. The food was cold and one of the workers even ignored me and gave me a dirty look. Do you even call yourself a waiter when ur handling customers like this? You kept ignoring my question and walked away like you never heard me. I do not recommend people going to this place. Its such a waste spending on this useless food. Their service was un incredible. Giving me side eyes like you eat dirt."
ChIJZ2DAwqYX2jERymVeqc8T30c,&Joy Japanese Food Street (Nex),4,"I have my lunch with my parents at YakiYakibo, the food is good! and the service from Eileen is great! thank you for your good service."
ChIJZ2DAwqYX2jERymVeqc8T30c,&Joy Japanese Food Street (Nex),5,Best Japanese food street
ChIJEWdzyHEV2jERFOURfud0d_s,1036 Fusion,5,"Came here for lunch while on business in the Seletar area. Delicious authentic home cooked meals. Don’t get fooled by the casual look, the kitchen is clean and the service is great. Chicken satay, mixed vegetables, and garlic prawns were excellent. The prawns were very large and fresh."
ChIJEWdzyHEV2jERFOURfud0d_s,1036 Fusion,1,"Despite a prominent banner for a $4 breakfast set (1 kopi, 2 eggs, 1 toast), we were charged $17 for 2 coffees, 8 eggs, and 1 toast. When I questioned the price, the waitress claimed that because we didn't explicitly say the word ""breakfast set"" during the order, they charged everything at ala-carte prices. Total ripoff—be very specific when you order here!"
ChIJEWdzyHEV2jERFOURfud0d_s,1036 Fusion,5,Receommended. Food and service are great. Price reasonable and good good. Child friendly
ChIJEWdzyHEV2jERFOURfud0d_s,1036 Fusion,5,"Great dining experience, very suitable for big friend groups and family gatherings! Warm atmosphere and the staff are very friendly as well. We thoroughly enjoyed their signature wings, butter fried sotong and black pepper crab"
ChIJGWZ0_JkU2jERyBqFWy7JGws,1036 Live Seafood,5,Food was amazing. Got to choose my Crab. Turned out great. Staff super friendly. Beer was cold. Ate my chilli crab before i could take a photo. Did get a photo of my beer though.
ChIJGWZ0_JkU2jERyBqFWy7JGws,1036 Live Seafood,5,"Great food and services.
Love the crab.
Its open air seating though."
ChIJGWZ0_JkU2jERyBqFWy7JGws,1036 Live Seafood,1,"Their crab is not fresh black pepper sauce super salty , unreasonable price for such quality food . Do not recommend , visit at your own risk . However staff is quite friendly not pushy.PRICE IS HIDDEN ORDER AT YOUR OWN RISK 3 person all small dishes $200"
ChIJCa8ucjsF2jERHZiIudg_1EA,108 Mini Wok,1,臭油味
ChIJCa8ucjsF2jERHZiIudg_1EA,108 Mini Wok,5,"Has been dinner here x2 times, food not bad, the guy service is good, fast cooked, don’t need to wait too long, although he is alone, I’m recommended."
ChIJCa8ucjsF2jERHZiIudg_1EA,108 Mini Wok,5,Damn nice food
ChIJQ_yl0rcR2jERL5GXs_aRKJY,117 Fried Kway Teow • Hokkien Noodle,5,Fried Kway Teow super nice!
ChIJQ_yl0rcR2jERL5GXs_aRKJY,117 Fried Kway Teow • Hokkien Noodle,4,Best
ChIJQ_yl0rcR2jERL5GXs_aRKJY,117 Fried Kway Teow • Hokkien Noodle,3,"Hokkien mee not good. Also found a hair in it.

Char kway teow OK good.

White Carrot cake okay. My partner liked it."
ChIJQ_yl0rcR2jERL5GXs_aRKJY,117 Fried Kway Teow • Hokkien Noodle,4,"I'm a big fan of the fried carrot cake here! The dark version is perfectly balanced - savory and not too sweet. My wife, on the other hand, raves about the white carrot cake, describing it as crispy and packed with flavor. We're both impressed with the quality and taste of these dishes!"""
