restaurant,link,michelin guide,address,price,cuisine,michelin guide point of view,facilities & services,contact number,website,opening hours,michelin stars,location_lat,location_long
Pelagos,https://guide.michelin.com/en/attica/athens/restaurant/pelagos,MICHELIN GUIDE GREECE,"Four Seasons Astir Palace Hotel, 40 Apollonos Street, Vouliagmeni, Athens, 166 71, Greece",80 - 155 EUR,Seafood,"‘Ocean’ is a fitting name for this hotel restaurant considering its lovely sea views, its 1930s ocean liner styling and its seafood focus. Cooking blends refined French techniques with prime Mediterranean ingredients and is characterised by creativity, sophistication and bold yet harmonious flavours.","
T
Air conditioning
V
American Express credit card
f
Car park
Credit card / Debit card accepted
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
û
Restaurant offering vegetarian menus
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+30 21 0890 1190,www.fourseasons.com/athens/dining/restaurants/pelagos/,"Closed: 1-31 January, Monday, lunch: Tuesday-Saturday, Sunday",1,37.9839412,23.7283052
Botrini's,https://guide.michelin.com/en/attica/athens/restaurant/botrini-s,MICHELIN GUIDE GREECE,"24b Vasileos Georgiou, Athens, 152 33, Greece",90 - 120 EUR,Mediterranean Cuisine,"Ask for a spot in the romantic garden of this ultra-modern restaurant or, if you’re in a 4, choose the chef’s table. The chef is half Greek, half Italian, and the two tasting menus fuse these cuisines in refined, imaginative dishes which blend savoury and sweet. Go for the Greek wine pairings.","
T
Air conditioning
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
Show Less
",+30 21 0685 7323,https://www.botrinis.com/,"Closed: 17-25 April, Monday, lunch: Tuesday-Saturday, Sunday",1,37.9839412,23.7283052
Hytra,https://guide.michelin.com/en/attica/athens/restaurant/hytra,MICHELIN GUIDE GREECE,"107-109 Syngrou Avenue, Athens, 11 745, Greece",55 - 90 EUR,Modern Cuisine,"Once the sun goes down, they fold back the roof of this sultry 6th floor restaurant so you can dine under the stars overlooking The Acropolis – and in summer, they relocate to the roof terrace. Classic Greek recipes are given a modern makeover and can be accompanied by Greek wine or cocktail pairings.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
e
Great view
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
û
Restaurant offering vegetarian menus
X
Visa credit card
Show Less
",+30 21 0331 6767,https://www.hytra.gr/,Closed: lunch: Monday-Sunday,1,37.99485995,23.75515997
CTC,https://guide.michelin.com/en/attica/athens/restaurant/ctc,MICHELIN GUIDE GREECE,"15 Plateon, Athens, 10435, Greece",72 EUR,Modern Cuisine,CTC’s move to a new location means that it now comes with a rather stylish outdoor dining space that’s a real hit in summer. The experienced chef and his enthusiastic team guide you on an 11 course ‘Voyage’ which takes in Greece’s culinary history and blends bold flavours with subtle innovation and originality.,"
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
Show Less
",+30 21 0722 8812,https://www.ctc-restaurant.com/,"Closed: Monday, lunch: Tuesday-Saturday, Sunday",1,37.9811288,23.7164325
Varoulko Seaside,https://guide.michelin.com/en/attica/athens/restaurant/varoulko-seaside,MICHELIN GUIDE GREECE,"Akti Koumoundourou, 54-56 Mikrolimano Marina, Athens, 18545, Greece",43 - 60 EUR,Seafood,"This lively, bustling restaurant sits in a great spot on the promenade and its dining room opens onto the water. The focus is on superb quality fish – choose from an extensive à la carte or a tasting menu of the day’s specials. Generous Greek and Mediterranean dishes are full of colour and flavour.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
M
Diners Club credit card
R
Lift
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
{
Private dining room
X
Visa credit card
Show Less
",+30 21 0522 8400,https://www.varoulko.gr/,Closed: lunch: Monday-Saturday,1,37.9839412,23.7283052
Primo Restaurant,https://guide.michelin.com/en/puglia/lecce/restaurant/primo-restaurant,MICHELIN GUIDE ITALIA,"via 47° Reggimento Fanteria 7, Lecce, 73100, Italy",70 - 110 EUR,"Mediterranean Cuisine, Contemporary","With just a few tables in a small room crowned by a typical vaulted ceiling in Lecce stone, this restaurant has young chef Solaika Marrocco at the helm, who was born in 1995 and is full of grit and determination. Her cuisine is refined, elegantly simple and never dull thanks to her bold and original interpretations of traditional Salento dishes.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
X
Visa credit card
Show Less
",+39 0832 243802,https://www.primorestaurant.it/,"Closed: 18-25 January, 22-29 November, Tuesday",1,40.3570373,18.1718482
Bros',https://guide.michelin.com/en/puglia/lecce/restaurant/bros,MICHELIN GUIDE ITALIA,"via degli Acaja 2, Lecce, 73100, Italy",130 - 200 EUR,"Creative, Contemporary","Isabella and Floriano continue with the choice they made a while back to exclude an à la carte menu from their options, offering instead just two tasting menus which differ in their number of courses. These provide guests with a clear insight into their cuisine, featuring innovative and surprising tasting dishes – many of which are finished with a theatrical flourish at your table – all the way through to the excellent desserts. Creative and exuberant in equal measure!","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
Show More
",+39 351 661 5513,https://www.brosrestaurant.it/,Nearby Restaurants,1,40.3570373,18.1718482
Casamatta,https://guide.michelin.com/en/puglia/manduria/restaurant/casamatta,MICHELIN GUIDE ITALIA,"contrada Scrasciosa, Manduria, 74024, Italy",60 - 110 EUR,Modern Cuisine,"Enjoy carefully prepared and beautifully presented dishes in a setting illuminated by small lights commonly used during traditional festivals in Puglia. The cuisine here is modern and based on local produce, both meat and fish, often using vegetables grown in the restaurant’s own garden.","
T
Air conditioning
V
American Express credit card
Booking essential
f
Car park
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
û
Restaurant offering vegetarian menus
X
Visa credit card
€
With bedrooms
Show Less
",+39 099 990 8013,https://www.viniliaresort.com/,"Closed: 1 January-1 February, dinner: Sunday",1,40.401825,17.633511
Pietramare Natural Food,https://guide.michelin.com/en/calabria/isola-di-capo-rizzuto/restaurant/pietramare-natural-food,MICHELIN GUIDE ITALIA,"strada statale 106, Isola di Capo Rizzuto, 88841, Italy",50 - 120 EUR,Creative,"Although the menu is seasonal in feel and influenced by the region’s maritime and rural traditions, thereby offering guests an authentic culinary voyage around southern Italy, the focus here is resolutely modern and creative in tone. The restaurant now has an additional attraction – its “orto dei profumi”, an aromatic garden home to herbs and thirty different varieties of chilli pepper.","
T
Air conditioning
V
American Express credit card
Booking essential
f
Car park
”
Counter dining
Credit card / Debit card accepted
M
Diners Club credit card
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
X
Visa credit card
€
With bedrooms
Show Less
",+39 0962 376640,https://www.praiaartresort.com/,"Closed: 7 January-28 February, lunch: Monday-Sunday",1,38.9603416,17.0821735
Già Sotto l'Arco,https://guide.michelin.com/en/puglia/carovigno/restaurant/gia-sotto-l-arco,MICHELIN GUIDE ITALIA,"corso Vittorio Emanuele 71, Carovigno, 72012, Italy",70 - 140 EUR,Creative,"Set in a fine Baroque building in the main square, this restaurant has a warm, friendly welcome but is not lacking in style. Good reinterpretation of recipes from Apulia: mostly meat dishes, but there are also a few fish specialities.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
Show Less
",+39 0831 996286,https://www.giasottolarco.it/,"Closed: 8-20 January, 4-20 November, Monday",1,40.7085624,17.6594048
