restaurant_name,place_id,rating,review_count,price_level,latitude,longitude,matched_sfa_name,hygiene_grade,avg_sentiment,total_reviews,is_michelin,michelin_award
catering solutions,ChIJAYTFLssB2jERhBEinzmxRzo,4.6,150,,1.2447553,103.6141805,catering solutions pte. ltd.,B,0.54536,5,FALSE,
capella singapore,ChIJF75fVaoe2jERZYVUuHEz-lQ,4.7,2703,,1.2497222,103.8241667,ella,B,0.99182,5,FALSE,
tanjong beach club,ChIJc6s2rage2jERzvX_e5IB_6k,4.4,3776,3,1.243299,103.828128,tanjong beach club pte. ltd.,A,0.96928,5,FALSE,
good old days singapore flavours,ChIJAQAAsAAc2jERbbHzLY1ImcM,4.4,3406,2,1.2516525,103.8171855,suntec singapore international convention & exhibition services pte. ltd.,A,0.44904,5,FALSE,
sanctuary tearoom,ChIJ7xZ3TVUZ2jER-neTQEfw62Y,4.1,242,,1.2516213,103.8223528,immortal sanctuary pte. ltd.,A,0.98756,5,FALSE,
foc by the beach,ChIJBRTle6ke2jERAykxAgtBm68,4.2,1688,3,1.2467881,103.8249765,the exchange asia square pte ltd,A,0.90378,5,FALSE,
marrybrown,ChIJOeEeYf8b2jERIFDzM-cT2Ns,3.6,493,,1.2519406,103.8175254,,Unknown,0.38309,10,FALSE,
ola beach club,ChIJuU9qyPgb2jERidqJVhPuyUw,4.3,2593,,1.2531173,103.8152455,republic plaza city club (singapore) pte ltd,A,0.97082,5,FALSE,
oasis spice café,ChIJ-eGhoVUZ2jERqnCQOy9DEeo,4.2,562,,1.2538639,103.8225935,food & spice co pte ltd,A,0.7696,5,FALSE,
starbot café,ChIJ-eGhoVUZ2jEREqsO5URtcn4,4,81,,1.2541651,103.8214241,vanilla bar & caf? pte ltd,A,-0.0314,5,FALSE,
kt’s grill,ChIJUbkv81UZ2jERh8rfLVajmvE,4.6,505,,1.2549587,103.8217898,seafood paradise (s) pte. ltd.,A,0.69688,5,FALSE,
syun,ChIJ-zgVQv4b2jERecxX2O3ERyM,4.1,180,,1.2548033,103.820141,,Unknown,0.9585,5,FALSE,
mel’s drive-in,ChIJ-eGhoVUZ2jERke_c5wvglEU,4.4,1681,,1.2552633,103.822161,seafood paradise (s) pte. ltd.,A,0.89592,5,FALSE,
siloso beach cafe,ChIJ4-_IPfkb2jERcA-runQLk84,3.9,92,,1.2544911,103.8146014,hanis cafe & bakery pte. ltd.,A,0.66948,5,FALSE,
"bikini bar - beachfront bar on siloso beach, sentosa",ChIJ4fVxTf8b2jER-wnDh8Sxov0,4.1,917,2,1.2525685,103.8158124,j c tapas bar pte. ltd.,A,0.94284,5,FALSE,
the cliff,ChIJ5SCE0q4e2jERLiATjgKeV90,4.3,963,3,1.2457724,103.8267834,the exchange asia square pte ltd,A,0.97782,5,FALSE,
skypark sentosa by aj hackett,ChIJ4wQkC_kb2jERWQbscMaxu0Y,4.6,1098,,1.2551584,103.8133212,gardens by the bay,A,0.98518,5,FALSE,
friar's good food,ChIJUbkv81UZ2jERwTaEv7En95w,4.8,492,,1.2546406,103.8237395,seafood paradise (s) pte. ltd.,A,0.69566,5,FALSE,
putien resort world sentosa,ChIJw5eRIlYZ2jER-BYGhws94Gw,4.8,1784,2,1.2572299,103.8199822,pica world pte ltd,A,0.96126,5,FALSE,
"coastes - beach bar & restaurant | siloso beach, sentosa",ChIJ4fVxTf8b2jERtNRUV2Ng-0Q,3.9,2742,2,1.2524212,103.8161708,texas chicken restaurant pte. ltd.,A,0.92184,5,FALSE,
"din tai fung @ weave, resorts world sentosa",ChIJiae5plUZ2jERf3ochjwLxLo,4.2,756,2,1.2574199,103.8204199,tai seng fa pte. ltd.,A,0.73068,5,FALSE,
cassia,ChIJm2lW36oe2jERYvH_3tPnR5Q,4.7,332,3,1.2494479,103.82444,,Unknown,0.91008,5,FALSE,
osia steak and seafood grill,ChIJufG1t1UZ2jERqqP4QaIoTzc,4.4,634,,1.2554492,103.8198997,tian tian fisherman's pier seafood restaurant p l,B,0.98204,5,FALSE,
feng shui inn,ChIJIZfT4P0b2jERv45K2bx1LzI,4,242,,1.2573295,103.8170127,paradise inn (2) pte. ltd.,A,0.67698,5,FALSE,
kwee zeen,ChIJSwxxza4e2jERCRLenKJJs1M,3.9,350,,1.2452322,103.827427,chung kwee ming,B,0.64114,5,FALSE,
panamericana,ChIJD4LlFq8e2jER_28OQbhhaeI,4.8,4078,,1.2433595,103.8291314,panamericana pte. ltd.,A,0.98936,5,FALSE,
#NAME?,ChIJK1TRGpkd2jERIW5mWPUTPNA,4.2,520,,1.2498734,103.8213442,twelve cupcakes pte. ltd.,Unknown,0,,FALSE,
sushi kondo,ChIJFX-zIq8e2jERJkad2rAcaNA,4.6,31,,1.2439329,103.8294264,sushi kondo pte. ltd.,A,0.74018,5,FALSE,
blu kouzina sentosa,ChIJhctEESId2jEREh8_-oSV5AA,3.4,268,,1.2501854,103.8208332,resorts world at sentosa pte. ltd.,A,0.89662,5,FALSE,
fiamma,ChIJEWNnq5of2jER69_bjd4nzlg,4.8,806,,1.2492482,103.8244513,,Unknown,0.98816,5,TRUE,Selected Restaurants
royal china,ChIJHTZInz4f2jER0x4gbS9Cjk0,4.7,80,,1.2457486,103.828739,royal t group pte. ltd.,A,0.98362,5,FALSE,
empire grill,ChIJOTmFyq4f2jERQeq4M12DVYA,4.7,98,,1.2457486,103.828739,empire eats pte. limited,A,0.98142,5,FALSE,
iyasaka by hashida,ChIJhSUXYb8f2jER8z8uDGTYdzw,5,10,,1.2457486,103.828739,the soul kitchen by big d pte. ltd.,A,0.92008,5,FALSE,
raffles room,ChIJG5RtipEf2jERrUz8puAGH1A,5,3,,1.2457486,103.828739,the sandwich shop (raffles link) pte. ltd.,A,0.958866667,3,FALSE,
splash tribe,ChIJTybhszMd2jERZQ9vT8_Bcdg,4.1,586,,1.2505098,103.8196558,coffee tribe pte. ltd.,Unknown,0.8189,5,FALSE,
chef's table,ChIJA7M-JrIf2jERezJ4jToOhOw,4.3,3,,1.2497799,103.8241606,seafood paradise (s) pte. ltd.,A,0.667033333,3,FALSE,
le jardin,ChIJt3T9OQAf2jERivH3R0nb1YY,,,,1.2485342,103.8267348,jia jia le cuisine f & b pte. ltd.,A,0,,FALSE,
ye olde cow – kidzania takeaway kiosk,ChIJL7oVLv0d2jER5d27YBZm-fk,1,1,,1.2515984,103.8202485,the olde cuban 1 pte ltd,A,0.1901,1,FALSE,
burger institute,ChIJD5OVVgAd2jER-oYECN6QaSQ,3.7,15,,1.2517513,103.8202065,burger king singapore pte. ltd.,A,0.28728,5,FALSE,
sol & ora,ChIJW18JkhYb2jERNYFzp06llDE,4.5,592,,1.251754,103.8197205,ora jonathan sanchez,A,0.95636,5,FALSE,
old chang kee,ChIJm_dqhAAc2jERemR8KGKzpXo,3.9,52,1,1.251746,103.81854,chang cheng food & beverage pte. ltd.,A,0.126987059,85,FALSE,
tunglok heen,ChIJ-U7uY1QZ2jERf45kiagXJV0,4.7,1104,3,1.2550122,103.8201681,,Unknown,0.97714,5,TRUE,Selected Restaurants
verve bar + grill,ChIJSVIHtwcf2jERVG-X_1AbMxM,4.8,69,,1.2517312,103.8221016,26@marina bar & bistro pte ltd,B,0.97918,5,FALSE,
