restaurant_name,name,award,price,cuisine,latitude,longitude
quenino,Quenino,Selected Restaurants,$$$,Innovative,1.305775,103.827019
sushi hare,Sushi Hare,Selected Restaurants,$$$,Sushi,1.2803986,103.8480017
na oh,Na Oh,Selected Restaurants,$$,Korean Contemporary,1.3530609,103.7117347
bhoomi,Bhoomi,Selected Restaurants,$$,Indian,1.307339,103.829378
ichigo ichie,Ichigo Ichie,Selected Restaurants,$$$,Japanese,1.3075812,103.8285169
latido,Latido,Selected Restaurants,$$,"Colombian, Contemporary",1.27834,103.84433
iru den,Iru Den,Selected Restaurants,$$$,Taiwanese contemporary,1.3107446,103.8342928
l’antica pizzeria da michele,L’Antica Pizzeria da Michele,Selected Restaurants,$$,Pizza,1.282597,103.846653
sin heng claypot bak koot teh,Sin Heng Claypot Bak Koot Teh,Bib Gourmand,$$,Singaporean,1.3073313,103.9043627
san xiang rou cuo mian,San Xiang Rou Cuo Mian,Selected Restaurants,$,Street Food,1.2868787,103.8084765
long kee wanton noodle,Long Kee Wanton Noodle,Selected Restaurants,$,Street Food,1.349814,103.7184486
kang le fishball noodles,Kang Le Fishball Noodles,Selected Restaurants,$,Street Food,1.3496779,103.7184954
omakase @ stevens,Omakase @ Stevens,1 Star,$$$$,Innovative,1.3137694,103.8286826
jungle,Jungle,Bib Gourmand,$$,Thai,1.281413,103.8453743
sospiri,Sospiri,Selected Restaurants,$$,Italian,1.2800227,103.8513486
to-ricos kway chap,To-Ricos Kway Chap,Bib Gourmand,$,Street Food,1.3083574,103.8857344
nam sing hokkien fried mee,Nam Sing Hokkien Fried Mee,Bib Gourmand,$,Street Food,1.30825,103.88579
lao fu zi fried kway teow,Lao Fu Zi Fried Kway Teow,Bib Gourmand,$,Street Food,1.3080902,103.8856982
kotuwa,Kotuwa,Bib Gourmand,$$,Sri Lankan,1.2929748,103.8388373
da shi jia big prawn mee,Da Shi Jia Big Prawn Mee,Bib Gourmand,$,Singaporean,1.298469,103.8389954
song kee teochew fish porridge,Song Kee Teochew Fish Porridge,Bib Gourmand,$,Street Food,1.311974,103.839442
wok hei hor fun,Wok Hei Hor Fun,Bib Gourmand,$,Street Food,1.2874024,103.8183527
han kee,Han Kee,Bib Gourmand,$,Street Food,1.2796254,103.8467276
chai chuan tou yang rou tang,Chai Chuan Tou Yang Rou Tang,Bib Gourmand,$,Street Food,1.2856243,103.8220326
un-yang-kor-dai,Un-Yang-Kor-Dai,Bib Gourmand,$$,Thai,1.2872095,103.8483084
eminent frog porridge & seafood (lor 19),Eminent Frog Porridge & Seafood (Lor 19),Bib Gourmand,$,Street Food,1.3127778,103.8792564
hong kong yummy soup,Hong Kong Yummy Soup,Bib Gourmand,$,Street Food,1.2863998,103.8044992
kitchenman nasi lemak,Kitchenman Nasi Lemak,Bib Gourmand,$,Malaysian,1.3120852,103.8628154
fico,Fico,Bib Gourmand,$$,Italian,1.3105224,103.9463853
no.18 zion road fried kway teow,No.18 Zion Road Fried Kway Teow,Bib Gourmand,$,Street Food,1.292604,103.8312625
zhi wei xian zion road big prawn noodle,Zhi Wei Xian Zion Road Big Prawn Noodle,Bib Gourmand,$,Street Food,1.2924249,103.8312898
chey sua carrot cake,Chey Sua Carrot Cake,Bib Gourmand,$,Street Food,1.3380791,103.8447178
zai shun curry fish head,Zai Shun Curry Fish Head,Bib Gourmand,$,Street Food,1.343888,103.73722
heng heng cooked food,Heng Heng Cooked Food,Bib Gourmand,$,Street Food,1.343566,103.7380985
koh brother pig's organ soup,Koh Brother Pig's Organ Soup,Bib Gourmand,$,Street Food,1.2850432,103.832764
tiong bahru hainanese boneless chicken rice,Tiong Bahru Hainanese Boneless Chicken Rice,Bib Gourmand,$,Street Food,1.2846286,103.832596
lian he ben ji claypot,Lian He Ben Ji Claypot,Bib Gourmand,$,Street Food,1.2821566,103.8433055
song fish soup,Song Fish Soup,Bib Gourmand,$,Street Food,1.313468,103.76461
bahrakath mutton soup,Bahrakath Mutton Soup,Bib Gourmand,$,Street Food,1.324031,103.814139
heng kee,Heng Kee,Bib Gourmand,$,Street Food,1.2851492,103.8457218
ru ji kitchen,Ru Ji Kitchen,Bib Gourmand,$,Street Food,1.3081582,103.7928826
hong heng fried sotong prawn mee,Hong Heng Fried Sotong Prawn Mee,Bib Gourmand,$,Street Food,1.2849649,103.8327193
hai nan zai,Hai Nan Zai,Bib Gourmand,$,Street Food,1.4318206,103.8279671
joo siah bak koot teh,Joo Siah Bak Koot Teh,Bib Gourmand,$,Street Food,1.3445639,103.7313626
whole earth,Whole Earth,Bib Gourmand,$$,Vegetarian,1.2772625,103.8446935
kelantan kway chap · pig organ soup,Kelantan Kway Chap · Pig Organ Soup,Bib Gourmand,$,Street Food,1.3073595,103.85674
boon tong kee (balestier road),Boon Tong Kee (Balestier Road),Bib Gourmand,$,Singaporean,1.3255796,103.8495
the coconut club (beach road),The Coconut Club (Beach Road),Bib Gourmand,$$,Malaysian,1.3006534,103.8601437
jian bo tiong bahru shui kueh,Jian Bo Tiong Bahru Shui Kueh,Bib Gourmand,$,Street Food,1.3492969,103.7183594
lai heng handmade teochew kueh,Lai Heng Handmade Teochew Kueh,Bib Gourmand,$,Street Food,1.3452103,103.7310891
kwang kee teochew fish porridge,Kwang Kee Teochew Fish Porridge,Bib Gourmand,$,Street Food,1.3118717,103.8393125
fei fei roasted • noodle,Fei Fei Roasted • Noodle,Bib Gourmand,$,Street Food,1.3436537,103.7376562
true blue cuisine,True Blue Cuisine,Bib Gourmand,$$,Peranakan,1.2945379,103.8494194
anglo indian (shenton way),Anglo Indian (Shenton Way),Bib Gourmand,$$,Indian,1.279361,103.85043
indocafé,Indocafé,Bib Gourmand,$$,Peranakan,1.3110605,103.8356878
kok sen,Kok Sen,Bib Gourmand,$$,Singaporean,1.2802718,103.841681
zhup zhup,Zhup Zhup,Bib Gourmand,$,Noodles,1.3319636,103.8824999
beach road fish head bee hoon,Beach Road Fish Head Bee Hoon,Bib Gourmand,$,Street Food,1.3232442,103.8548346
margaret drive sin kee chicken rice,Margaret Drive Sin Kee Chicken Rice,Bib Gourmand,$,Street Food,1.3082682,103.7929491
heng,Heng,Bib Gourmand,$,Street Food,1.3120674,103.8393122
jalan sultan prawn mee,Jalan Sultan Prawn Mee,Bib Gourmand,$,Street Food,1.3111924,103.8727709
yhingthai palace,Yhingthai Palace,Bib Gourmand,$$,Thai,1.29648,103.85497
somma,Somma,Selected Restaurants,$$$,Innovative,1.292765,103.838817
hougang traditional famous wanton noodle,Hougang Traditional Famous Wanton Noodle,Selected Restaurants,$,Street Food,1.3083056,103.8855917
sushi ryujiro,Sushi Ryujiro,Selected Restaurants,$$$$,Sushi,1.306797,103.83133
solo,Solo,Selected Restaurants,$$,Italian,1.2806216,103.8469554
song fa bak kut teh (new bridge road),Song Fa Bak Kut Teh (New Bridge Road),Bib Gourmand,$,Singaporean,1.2890223,103.8477147
mp thai (vision exchange),MP Thai (Vision Exchange),Bib Gourmand,$$,Thai,1.329991,103.744593
kwee heng,Kwee Heng,Bib Gourmand,$,Street Food,1.312026,103.8395432
delhi lahori,Delhi Lahori,Bib Gourmand,$,Street Food,1.3064407,103.8507102
soh kee cooked food,Soh Kee Cooked Food,Bib Gourmand,$,Street Food,1.3498361,103.7184176
chuan kee boneless braised duck,Chuan Kee Boneless Braised Duck,Bib Gourmand,$,Street Food,1.3110244,103.788126
sin huat seafood restaurant,Sin Huat Seafood Restaurant,Bib Gourmand,$$,Street Food,1.314489,103.8885
tian tian hainanese chicken rice,Tian Tian Hainanese Chicken Rice,Bib Gourmand,$,Street Food,1.2804903,103.8448118
tai wah pork noodle,Tai Wah Pork Noodle,Bib Gourmand,$,Street Food,1.2852332,103.8457532
outram park fried kway teow mee,Outram Park Fried Kway Teow Mee,Bib Gourmand,$,Street Food,1.2851585,103.8457139
hoo kee bak chang,Hoo Kee Bak Chang,Bib Gourmand,$,Street Food,1.2789952,103.8466824
ar er soup,Ar Er Soup,Bib Gourmand,$,Street Food,1.2868701,103.8081238
jason penang cuisine,Jason Penang Cuisine,Bib Gourmand,$,Street Food,1.2869092,103.8081365
spinach soup,Spinach Soup,Bib Gourmand,$,Street Food,1.32144,103.870173
a noodle story,A Noodle Story,Bib Gourmand,$,Street Food,1.2790364,103.8464494
tai seng fish soup,Tai Seng Fish Soup,Bib Gourmand,$,Street Food,1.3348723,103.7215061
dudu cooked food,Dudu Cooked Food,Bib Gourmand,$,Street Food,1.3494,103.71848
hai nan xing zhou beef noodle,Hai Nan Xing Zhou Beef Noodle,Bib Gourmand,$,Street Food,1.3355032,103.857018
fu ming cooked food,Fu Ming Cooked Food,Bib Gourmand,$,Street Food,1.2874936,103.8183732
na na curry,Na Na Curry,Bib Gourmand,$,Street Food,1.285599,103.82203
