restaurant_name,name,award,price,cuisine,latitude,longitude,matched_sfa_name,hygiene_grade
quenino,Quenino,Selected Restaurants,$$$,Innovative,1.305775,103.827019,,
sushi hare,Sushi Hare,Selected Restaurants,$$$,Sushi,1.2803986,103.8480017,tatsu sushi (s) pte ltd,A
na oh,Na Oh,Selected Restaurants,$$,Korean Contemporary,1.3530609,103.7117347,kko kko na ra pte. ltd.,B
bhoomi,Bhoomi,Selected Restaurants,$$,Indian,1.307339,103.829378,,
ichigo ichie,Ichigo Ichie,Selected Restaurants,$$$,Japanese,1.3075812,103.8285169,,
latido,Latido,Selected Restaurants,$$,"Colombian, Contemporary",1.27834,103.84433,,
iru den,Iru Den,Selected Restaurants,$$$,Taiwanese contemporary,1.3107446,103.8342928,,
l’antica pizzeria da michele,L’Antica Pizzeria da Michele,Selected Restaurants,$$,Pizza,1.282597,103.846653,tian tian fisherman's pier seafood restaurant p l,B
sin heng claypot bak koot teh,Sin Heng Claypot Bak Koot Teh,Bib Gourmand,$$,Singaporean,1.3073313,103.9043627,hao heng pte. ltd.,
san xiang rou cuo mian,San Xiang Rou Cuo Mian,Selected Restaurants,$,Street Food,1.2868787,103.8084765,jia xiang kuching food supplies pte. ltd.,A
long kee wanton noodle,Long Kee Wanton Noodle,Selected Restaurants,$,Street Food,1.349814,103.7184486,yu kee duck and noodle house pte. ltd.,A
kang le fishball noodles,Kang Le Fishball Noodles,Selected Restaurants,$,Street Food,1.3496779,103.7184954,le sen pte. ltd.,A
omakase @ stevens,Omakase @ Stevens,1 Star,$$$$,Innovative,1.3137694,103.8286826,blue lotus @ stevens pte ltd,
jungle,Jungle,Bib Gourmand,$$,Thai,1.281413,103.8453743,jungle enterprise pte ltd,A
sospiri,Sospiri,Selected Restaurants,$$,Italian,1.2800227,103.8513486,,
to-ricos kway chap,To-Ricos Kway Chap,Bib Gourmand,$,Street Food,1.3083574,103.8857344,original hock lam street beef kway teow pte. ltd.,A
nam sing hokkien fried mee,Nam Sing Hokkien Fried Mee,Bib Gourmand,$,Street Food,1.30825,103.88579,sing hk pte ltd,B
lao fu zi fried kway teow,Lao Fu Zi Fried Kway Teow,Bib Gourmand,$,Street Food,1.3080902,103.8856982,guo fu  pte ltd,A
kotuwa,Kotuwa,Bib Gourmand,$$,Sri Lankan,1.2929748,103.8388373,,
da shi jia big prawn mee,Da Shi Jia Big Prawn Mee,Bib Gourmand,$,Singaporean,1.298469,103.8389954,jia xiang kuching food supplies pte. ltd.,A
song kee teochew fish porridge,Song Kee Teochew Fish Porridge,Bib Gourmand,$,Street Food,1.311974,103.839442,wa kee pte. ltd.,
wok hei hor fun,Wok Hei Hor Fun,Bib Gourmand,$,Street Food,1.2874024,103.8183527,marina bay mini wok pte ltd,A
han kee,Han Kee,Bib Gourmand,$,Street Food,1.2796254,103.8467276,han holding company pte. ltd.,A
chai chuan tou yang rou tang,Chai Chuan Tou Yang Rou Tang,Bib Gourmand,$,Street Food,1.2856243,103.8220326,tang yaqi,B
un-yang-kor-dai,Un-Yang-Kor-Dai,Bib Gourmand,$$,Thai,1.2872095,103.8483084,big family shi dai pte. ltd.,B
eminent frog porridge & seafood (lor 19),Eminent Frog Porridge & Seafood (Lor 19),Bib Gourmand,$,Street Food,1.3127778,103.8792564,tao seafood asia (pte ltd),A
hong kong yummy soup,Hong Kong Yummy Soup,Bib Gourmand,$,Street Food,1.2863998,103.8044992,guan chee hong kong roasted duck pte. ltd.,A
kitchenman nasi lemak,Kitchenman Nasi Lemak,Bib Gourmand,$,Malaysian,1.3120852,103.8628154,yanti nasi padang restaurant pte ltd,B
fico,Fico,Bib Gourmand,$$,Italian,1.3105224,103.9463853,,
no.18 zion road fried kway teow,No.18 Zion Road Fried Kway Teow,Bib Gourmand,$,Street Food,1.292604,103.8312625,authentic hock lam street popular beef kuay teow pte ltd,A
zhi wei xian zion road big prawn noodle,Zhi Wei Xian Zion Road Big Prawn Noodle,Bib Gourmand,$,Street Food,1.2924249,103.8312898,zion remnant pte. ltd.,A
chey sua carrot cake,Chey Sua Carrot Cake,Bib Gourmand,$,Street Food,1.3380791,103.8447178,han's cafe & cake house pte. ltd.,A
zai shun curry fish head,Zai Shun Curry Fish Head,Bib Gourmand,$,Street Food,1.343888,103.73722,zai shun curry fish head pte. ltd.,B
heng heng cooked food,Heng Heng Cooked Food,Bib Gourmand,$,Street Food,1.343566,103.7380985,ng heng,A
koh brother pig's organ soup,Koh Brother Pig's Organ Soup,Bib Gourmand,$,Street Food,1.2850432,103.832764,soup fair pte. ltd.,A
tiong bahru hainanese boneless chicken rice,Tiong Bahru Hainanese Boneless Chicken Rice,Bib Gourmand,$,Street Food,1.2846286,103.832596,thunder tea rice pte ltd,B
