restaurant_name,place_id,rating,review_count,price_level,latitude,longitude,matched_sfa_name,hygiene_grade
catering solutions,ChIJAYTFLssB2jERhBEinzmxRzo,4.6,150.0,,1.2447553,103.6141805,catering solutions pte. ltd.,B
capella singapore,ChIJF75fVaoe2jERZYVUuHEz-lQ,4.7,2703.0,,1.2497222,103.8241667,ella,B
tanjong beach club,ChIJc6s2rage2jERzvX_e5IB_6k,4.4,3776.0,3.0,1.243299,103.828128,tanjong beach club pte. ltd.,A
good old days singapore flavours,ChIJAQAAsAAc2jERbbHzLY1ImcM,4.4,3406.0,2.0,1.2516525,103.8171855,suntec singapore international convention & exhibition services pte. ltd.,A
sanctuary tearoom,ChIJ7xZ3TVUZ2jER-neTQEfw62Y,4.1,242.0,,1.2516213,103.8223528,immortal sanctuary pte. ltd.,A
foc by the beach,ChIJBRTle6ke2jERAykxAgtBm68,4.2,1688.0,3.0,1.2467881,103.8249765,the exchange asia square pte ltd,A
marrybrown,ChIJOeEeYf8b2jERIFDzM-cT2Ns,3.6,493.0,,1.2519406,103.8175254,,
ola beach club,ChIJuU9qyPgb2jERidqJVhPuyUw,4.3,2593.0,,1.2531173,103.8152455,republic plaza city club (singapore) pte ltd,A
oasis spice café,ChIJ-eGhoVUZ2jERqnCQOy9DEeo,4.2,562.0,,1.2538639,103.8225935,food & spice co pte ltd,A
starbot café,ChIJ-eGhoVUZ2jEREqsO5URtcn4,4.0,81.0,,1.2541651,103.8214241,vanilla bar & caf? pte ltd,A
kt’s grill,ChIJUbkv81UZ2jERh8rfLVajmvE,4.6,505.0,,1.2549587,103.8217898,seafood paradise (s) pte. ltd.,A
syun,ChIJ-zgVQv4b2jERecxX2O3ERyM,4.1,180.0,,1.2548033,103.820141,,
mel’s drive-in,ChIJ-eGhoVUZ2jERke_c5wvglEU,4.4,1681.0,,1.2552633,103.822161,seafood paradise (s) pte. ltd.,A
siloso beach cafe,ChIJ4-_IPfkb2jERcA-runQLk84,3.9,92.0,,1.2544911,103.8146014,hanis cafe & bakery pte. ltd.,A
"bikini bar - beachfront bar on siloso beach, sentosa",ChIJ4fVxTf8b2jER-wnDh8Sxov0,4.1,917.0,2.0,1.2525685,103.8158124,j c tapas bar pte. ltd.,A
the cliff,ChIJ5SCE0q4e2jERLiATjgKeV90,4.3,963.0,3.0,1.2457724,103.8267834,the exchange asia square pte ltd,A
skypark sentosa by aj hackett,ChIJ4wQkC_kb2jERWQbscMaxu0Y,4.6,1098.0,,1.2551584,103.8133212,gardens by the bay,A
friar's good food,ChIJUbkv81UZ2jERwTaEv7En95w,4.8,492.0,,1.2546406,103.8237395,seafood paradise (s) pte. ltd.,A
putien resort world sentosa,ChIJw5eRIlYZ2jER-BYGhws94Gw,4.8,1784.0,2.0,1.2572299,103.8199822,pica world pte ltd,A
"coastes - beach bar & restaurant | siloso beach, sentosa",ChIJ4fVxTf8b2jERtNRUV2Ng-0Q,3.9,2742.0,2.0,1.2524212,103.8161708,texas chicken restaurant pte. ltd.,A
"din tai fung @ weave, resorts world sentosa",ChIJiae5plUZ2jERf3ochjwLxLo,4.2,756.0,2.0,1.2574199,103.8204199,tai seng fa pte. ltd.,A
cassia,ChIJm2lW36oe2jERYvH_3tPnR5Q,4.7,332.0,3.0,1.2494479,103.82444,,
