Restaurant Name,place_id,Address,Country,Region,Price,Cuisine,Longitude,Latitude,Phone Number,Michelin Guide Post Link,Google Website Link,Michelin Award,Facilities And Services,Description,SFA Hygiene Grade,Safety Penalty,Review Count,Average Rating,value_tier,value_score,service_tier,service_score,taste_tier,taste_score,value_tier_numeric,service_tier_numeric,taste_tier_numeric,Is Michelin
168 CMY Satay,ChIJFQJEK4YZ2jERrEB-quqh42s,"Chinatown Complex Market & Food Centre, #02-168, 335 Smith Street, 050335, Singapore",Singapore,Central,1.0,Street Food,103.8430927,1.2823914,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/168-cmy-satay,"https://www.google.com/maps/place/168+CMY+Satay/@1.282307,103.8429239,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19862b440215:0x6be3a1eaaa7e40ac!8m2!3d1.282307!4d103.8429239!16s%2Fg%2F11spm8gp9k?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=e71023f0-35f8-4b50-8858-68515db074cd",Selected Restaurants,"Dine-in,Takeaway","Two shops share the same venue, so be sure you order from the right one. The grilled-to-order satay comes in pork, chicken and lamb varieties (or an assortment). The nutty, tangy sauce is tasty and you can order rice on top.",A,0,23,4.43,good,0.7117,good,0.5845,good,0.8738,3.78,4.0,4.04,True
545 Whampoa Prawn Noodles,ChIJP-gkM78Z2jERkC39WJ-_Ysk,"Tekka Centre, #01-326, 665 Buffalo Road, 210665, Singapore",Singapore,Central,1.0,Street Food,103.8504528,1.3059012,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/545-whampoa-prawn-noodles,"https://www.google.com/maps/place/545+Whampoa+Prawn+Noodles/@1.3058126,103.8504298,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19bf3324e83f:0xc962bf9f58fd2d90!8m2!3d1.3058126!4d103.8504298!16s%2Fg%2F11bwyxv75w?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=5f581ace-c3e4-4e87-8a08-d036f65bc74a",Selected Restaurants,"Dine-in,Takeaway,Coffee,Wheelchair accessible","The stall dates back to 1920s. Dry noodles dressed in sambal sauce are topped with bean sprouts, prawns and pork, and served with umami-laden prawn soup. Or opt for the noodle soup version. Add fried shallots and lard on top.",A,0,22,4.32,good,0.6826,excellent,0.4803,good,0.9233,3.5,4.18,3.95,True
91 Fried Kway Teow Mee,ChIJQSRJirMZ2jERdDBG58T_4Lg,"Golden Mile Food Centre, #01-91, 505 Beach Road, 199583, Singapore",Singapore,Central,1.0,Street Food,103.8638813,1.3029121,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/91-fried-kway-teow-mee,"https://www.google.com/maps/place/91+Fried+Kway+Teow+Mee+%E7%BF%A0%E7%BB%BF%E7%82%92%E7%B2%BF%E6%9D%A1%E9%9D%A2/@1.3030758,103.8639485,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19b38a492441:0xb8e0ffc4e7463074!8m2!3d1.3030758!4d103.8639485!16s%2Fg%2F11cp794f38?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=8a062eeb-a9c5-4f3c-88dc-9358f73f9a95",Selected Restaurants,"Dine-in,Takeaway","Their fried kway teow boasts exceptional wok hei and is pork free. Topped with leafy greens, cockles, egg, bean sprouts, deep-fried anchovies and a prawn, the noodles are perfectly seasoned. It closes when sold out.",A,0,28,2.89,poor,0.7598,excellent,0.4776,good,0.8293,2.82,3.07,3.36,True
A Noodle Story,ChIJacz6ujYZ2jERUPwcjKRR_ws,"Amoy Street Food Centre, #01-39, 7 Maxwell Road, 069111, Singapore",Singapore,Central,1.0,Street Food,103.8464494,1.2790364,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/a-noodle-story,"https://www.google.com/maps/place/A+Noodle+Story/@1.2793453,103.846555,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1936bafacc69:0xbff51a48c1cfc50!8m2!3d1.2793453!4d103.846555!16s%2Fg%2F11k4p7dh1f?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=99d67f1a-1d63-43ae-9c9e-165d675fd741",Bib Gourmand,"Dine-in,Takeaway,Delivery,NFC payments,Wheelchair accessible","The stall has an interesting look and sells local, traditional noodles cooked in an innovative way.",A,0,23,4.52,good,0.7562,excellent,0.5588,good,0.8794,3.7,4.3,4.04,True
Adam Rd Noo Cheng Big Prawn Noodle,ChIJv4Mk4QYa2jER04PXfccoZvo,"Adam Food Centre, #01-27, 2 Adam Road, 289876, Singapore",Singapore,Central,1.0,Street Food,103.814139,1.324031,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/adam-rd-noo-cheng-big-prawn-noodle,"https://www.google.com/maps/place/Adam+Rd+Noo+Cheng+Big+Prawn+Noodle/@1.3242218,103.814164,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a06e12483bf:0xfa6628c77dd783d3!8m2!3d1.3242218!4d103.814164!16s%2Fg%2F1tjdnw0v?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=32df1abf-6eff-4e58-b308-6b8243c10ce3",Bib Gourmand,"Dine-in,Takeaway,Wheelchair accessible","The prawn mee cooked à la minute is a recipe from the owner’s father. Opt for “dry” noodles tossed in prawn paste of your desired level of heat, alongside a bowl of prawn soup. Toppings like pig skin add contrasting textures.",A,0,28,2.86,good,0.8026,good,0.5377,good,0.8996,3.07,3.21,3.39,True
Ah Heng Duck Rice,ChIJC29QQQsZ2jERZrpeI5PiF1w,"Hong Lim Market and Food Centre, #02-64, Blk 531A, Upper Cross Street, 051531, Singapore",Singapore,Central,1.0,Street Food,103.8457572,1.2851653,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ah-heng-duck-rice,"https://www.google.com/maps/place/Ah+Heng+Duck+Rice/@1.2851816,103.8457357,17z/data=!3m1!4b1!4m6!3m5!1s0x31da190b41506f0b:0x5c17e293235eba66!8m2!3d1.2851816!4d103.8457357!16s%2Fg%2F11fxf4zlxg?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=0e261f40-68c6-4218-8e24-e236c57cc2a9",Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible","The taste of duck meat blends with the spice marinade, each boasting a rich flavour. Snacks like duck liver and dried tofu are also offered.",A,0,29,4.21,good,0.645,good,0.5258,good,0.8695,3.69,4.34,3.86,True
Ah Hock Fried Hokkien Noodles,ChIJBdZY5_8W2jERaQD-f879OKY,"Chomp Chomp Food Centre, #01-27, 20 Kensington Park Road, 557269, Singapore",Singapore,North-East,1.0,Street Food,103.8665402,1.3642542,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ah-hock-fried-hokkien-noodles,"https://www.google.com/maps/place/Ah+Hock+Fried+Hokkien+Noodles+%E4%BA%9A%E7%A6%8F/@1.3641975,103.8666069,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16ffe758d605:0xa638fdce7ffe0069!8m2!3d1.3641975!4d103.8666069!16s%2Fg%2F11dxbp4w3p?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=988a7811-9a19-416c-b3b1-7b99ccaf9d21",Selected Restaurants,"Dine-in,Takeaway,Outdoor seating",Serves fried Hokkien noodles with shrimp and squid.,B,1,28,2.68,poor,0.811,good,0.5831,good,0.9122,2.82,3.0,3.07,True
Ah Ter Authentic Teochew Fish Ball Noodles,ChIJUxLPXw0Z2jER33huBPvJbpk,"Amoy Street Food Centre, #01-14, 7 Maxwell Road, 069111, Singapore",Singapore,Central,1.0,Street Food,103.8466829,1.2794786,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ah-ter-teochew-fish-ball-noodles,"https://www.google.com/maps/place/Ah+Ter+Teochew+Fishball+Noodles/@1.2795779,103.8467263,17z/data=!3m1!4b1!4m6!3m5!1s0x31da190d5fcf1253:0x996ec9fb046e78df!8m2!3d1.2795779!4d103.8467263!16s%2Fg%2F11f0wkp294?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=859d6dce-b973-4b8b-a01f-3b229df9946f",Selected Restaurants,"Dine-in,Takeaway,Delivery,Wheelchair accessible","Now run by the third generation, this family-run stall is famous for its fish ball noodle soup topped with ground pork, pork liver, seaweed and pork rinds. Pork ribs are simmered for hours resulting in a broth rich in gutsy flavours.",B,1,26,3.96,good,0.7257,excellent,0.4927,good,0.883,3.65,4.19,3.85,True
Allauddin's Briyani,ChIJP-gkM78Z2jERA5DuOx0ChII,"Tekka Centre, #01-229/232, 665 Buffalo Road, 210665, Singapore",Singapore,Central,1.0,Street Food,103.8508753,1.3060542,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/allauddin-s-briyani,"https://www.google.com/maps/place/Allauddin's+Briyani+Pte+Ltd/@1.3060097,103.8508476,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19bf3324e83f:0x8284021d3bee9003!8m2!3d1.3060097!4d103.8508476!16s%2Fg%2F1ptwt24_n?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=d746f378-63e9-4e16-a737-59e197e46f46",Selected Restaurants,"Dine-in,Takeaway,Delivery,NFC payments","The family has been selling its famous biryani since the 1950s. The set comes with yellow basmati rice enhanced by a spice mix; mutton, chicken or fish curry; and papadums. The mutton sambal is tender and tasty.",C,3,24,3.5,good,0.6504,excellent,0.4589,good,0.869,3.33,3.58,3.67,True
Alliance Seafood,ChIJu3wK9-sZ2jERz3jrVfP4sWM,"Newton Food Centre, #01-27, 500 Clemenceau Avenue North, 229495, Singapore",Singapore,Central,1.0,Street Food,103.8395393,1.3121151,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/alliance-seafood,"https://www.google.com/maps/place/Alliance+Seafood/@1.3119859,103.8397289,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19ebf70a7cbb:0x63b1f8f355eb78cf!8m2!3d1.3119859!4d103.8397289!16s%2Fg%2F11c5b7l4dt?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=f0b0cfb0-ec66-4ee2-b1b1-999aef263ca3",Bib Gourmand,"Takeaway,Outdoor seating,Beer,Wheelchair accessible","Come here for cooked-to-order seafood at a range of prices. Barbecue is hugely popular, but you can also opt for sambal, black pepper sauce or salted egg yolk. Don’t miss the cereal butter prawns.",A,0,28,3.79,good,0.635,excellent,0.5639,good,0.7997,3.32,3.93,3.68,True
